Cyl	Disp	HP	Weight	Accel	Year	Country	MPG
4	113	95	2372	15	70	Japan	24
4	97	88	2130	14	70	Japan	27
4	97	88	2130	14	71	Japan	27
4	113	95	2228	14	71	Japan	25
4	71	65	1773	19	71	Japan	31
4	72	69	1613	18	71	Japan	35
4	113	95	2278	15	72	Japan	24
3	70	97	2330	13	72	Japan	19
4	97	92	2288	17	72	Japan	28
4	120	97	2506	14	72	Japan	23
4	97	88	2100	16	72	Japan	27
4	97	88	2279	19	73	Japan	20
4	108	94	2379	16	73	Japan	22
3	70	90	2124	13	73	Japan	18
6	156	122	2807	13	73	Japan	20
4	79	67	1950	19	74	Japan	31
4	71	65	1836	21	74	Japan	32
4	76	52	1649	16	74	Japan	31
4	83	61	2003	19	74	Japan	32
4	120	97	2489	15	74	Japan	24
4	108	93	2391	15	74	Japan	26
4	97	75	2171	16	75	Japan	29
4	134	96	2702	13	75	Japan	24
4	119	97	2545	17	75	Japan	24
4	91	53	1795	17	75	Japan	33
4	91	53	1795	17	76	Japan	33
4	85	70	1990	17	76	Japan	32
4	97	75	2155	16	76	Japan	28
6	156	108	2930	15	76	Japan	19
4	98	68	2045	18	77	Japan	31
4	85	70	1945	16	77	Japan	33
4	97	75	2265	18	77	Japan	26
4	97	67	1985	16	77	Japan	30
6	146	97	2815	14	77	Japan	22
3	80	110	2720	13	77	Japan	21
4	78	52	1985	19	78	Japan	32
4	85	70	2070	18	78	Japan	39
4	91	60	1800	16	78	Japan	36
4	134	95	2560	14	78	Japan	27
4	119	97	2300	15	78	Japan	27
4	134	95	2515	15	78	Japan	21
4	119	97	2405	15	78	Japan	24
4	98	68	2135	16	78	Japan	29
4	86	65	1975	15	79	Japan	34
4	85	65	2020	19	79	Japan	31
4	89	60	1968	19	80	Japan	38
4	86	65	2019	16	80	Japan	37
4	134	90	2711	15	80	Japan	30
4	120	75	2542	17	80	Japan	31
4	119	92	2434	15	80	Japan	37
4	108	75	2265	15	80	Japan	32
4	86	65	2110	18	80	Japan	46
4	85	65	2110	19	80	Japan	41
4	91	67	1850	14	80	Japan	45
4	97	67	2145	18	80	Japan	34
6	168	132	2910	11	80	Japan	33
3	70	100	2420	12	80	Japan	24
4	107	72	2290	17	80	Japan	32
4	79	58	1755	17	81	Japan	39
4	81	60	1760	16	81	Japan	35
4	97	67	2065	18	81	Japan	32
4	85	65	1975	19	81	Japan	37
4	89	62	2050	17	81	Japan	38
4	91	68	1985	16	81	Japan	34
4	107	75	2210	14	81	Japan	34
4	108	75	2350	17	81	Japan	32
4	119	100	2615	15	81	Japan	33
4	120	74	2635	18	81	Japan	31
6	168	116	2900	12	81	Japan	25
6	146	120	2930	14	81	Japan	24
4	91	68	2025	18	82	Japan	37
4	91	68	1970	17	82	Japan	31
4	120	88	2160	14	82	Japan	36
4	107	75	2205	14	82	Japan	36
4	108	70	2245	17	82	Japan	34
4	91	67	1965	15	82	Japan	38
4	91	67	1965	15	82	Japan	32
4	91	67	1995	16	82	Japan	38
4	144	96	2665	14	82	Japan	32
4	97	46	1835	20	70	Europe	26
4	110	87	2672	17	70	Europe	25
4	107	90	2430	14	70	Europe	24
4	104	95	2375	17	70	Europe	25
4	121	113	2234	12	70	Europe	26
4	116	90	2123	14	71	Europe	28
4	79	70	2074	19	71	Europe	30
4	88	76	2065	14	71	Europe	30
4	97	60	1834	19	71	Europe	27
4	97	54	2254	23	72	Europe	23
4	121	112	2933	14	72	Europe	18
4	121	76	2511	18	72	Europe	22
4	120	87	2979	19	72	Europe	21
4	96	69	2189	18	72	Europe	26
4	97	46	1950	21	73	Europe	26
4	98	90	2265	15	73	Europe	26
4	68	49	1867	19	73	Europe	29
4	116	75	2158	15	73	Europe	24
